ACT Symbol,Company Name
CBL$E,"CBL & Associates Properties, Inc. Depositary Shs Repstg 1/10 6.625% Ser E Cum Redeemable (Pfd Stk)"
CBM,Cambrex Corporation Common Stock
CBPX,"Continental Building Products, Inc. Common Stock"
CBR,"Ciber, Inc. Common Stock"
CBS,CBS Corporation Class B Common Stock
CBS.A,CBS Corporation CBS Corporation Class A Common Stock
CBT,Cabot Corporation Common Stock
CBU,"Community Bank System, Inc. Common Stock"
CBZ,"CBIZ, Inc. Common Stock"
CC,Chemours Company (The) Common Stock
CCC,Calgon Carbon Corporation Common Stock
CCE,Coca
CCI,Crown Castle International Corp. (REIT) Common Stock
CCJ,Cameco Corporation Common Stock
CCK,"Crown Holdings, Inc."
CCL,Carnival Corporation Common Stock
CCM,Concord Medical Services Holdings Limited ADS (Each represents three ordinary shares)
CCO,"Clear Channel Outdoor Holdings, Inc. Clear Channel Outdoor Holdings, Inc. Class A Common Stock"
CCP,"Care Capital Properties, Inc. Common Stock"
CCS,"Century Communities, Inc. Common Stock"
CCU,"Compania Cervecerias Unidas, S.A. Common Stock"
CCV,Comcast Corporation 5.00% Notes due 2061
CCZ,Comcast Holdings ZONES
CDE,"Coeur Mining, Inc. Common Stock"
CDI,CDI Corporation Common Stock
CDR,"Cedar Realty Trust, Inc. Common Stock"
CDR$B,"Cedar Realty Trust, Inc. 7.25% Series B Cumulative Redeemable Preferred Stock"
CE,Celanese Corporation Celanese Corporation Series A Common Stock
CEA,China Eastern Airlines Corporation Ltd. Common Stock
CEB,CEB Inc. Common Stock
CEL,"Cellcom Israel, Ltd. Ordinary Shares"
CELP,"Cypress Energy Partners, L.P. Common Units representing limited partner interests"
CEO,CNOOC Limited Common Stock
CEQP,Crestwood Equity Partners LP
CF,"CF Industries Holdings, Inc. Common Stock"
CFC$B,Countrywide Capital V (New) 7.00% Capital Securities
CFG,"Citizens Financial Group, Inc. Common Stock"
CFI,"Culp, Inc. Common Stock"
CFR,"Cullen/Frost Bankers, Inc. Common Stock"
CFR$A,"Cullen/Frost Bankers, Inc. Perpetual Preferred Series A"
CFX,Colfax Corporation Common Stock
CGA,"China Green Agriculture, Inc. Common Stock"
CGG,CGG
CGI,"Celadon Group, Inc. Common Stock"
CHA,China Telecom Corp Ltd ADS
CHCT,Community Healthcare Trust Incorporated Common Stock
CHD,"Church & Dwight Company, Inc. Common Stock"
CHE,Chemed Corp
CHGG,"Chegg, Inc. Common Stock"
CHH,"Choice Hotels International, Inc. Common Stock"
CHK,Chesapeake Energy Corporation Common Stock
CHK$D,Chesapeake Energy Corporation Convertible Preferred
CHKR,Chesapeake Granite Wash Trust Common Units representing beneficial interests in the Trust
CHL,China Mobile Limited Common Stock
CHMI,Cherry Hill Mortgage Investment Corporation Common Stock
CHMT,Chemtura Corp. Common Stock
CHS,"Chico's FAS, Inc. Common Stock"
CHSP,Chesapeake Lodging Trust Common Shares of Beneficial Interest
CHSP$A,Chesapeake Lodging Trust 7.75% Series A Cumulative Redeemable Preferred Shares
CHT,"Chunghwa Telecom Co., Ltd."
CHU,China Unicom (Hong Kong) Ltd Common Stock
CI,Cigna Corporation Common Stock
CIA,"Citizens, Inc. Class A Common Stock ($1.00 Par)"
CIB,BanColombia S.A. Common Stock
CIE,"Cobalt International Energy, Inc."
CIEN,Ciena Corporation Common Stock
CIG,Comp En De Mn Cemig ADS American Depositary Shares
CIG.C,Comp En De Mn Cemig ADS American Depositary Receipts
CIM,Chimera Investment Corporation Common Stock
CIM$A,Chimera Investment Corporation 8.00% Series A Cumulative Redeemable Preferred Stock
CIM$B,Chimera Investment Corporation 8.00% Series B Fixed
CINR,Ciner Resources LP Common Units representing Limited Partner Interests
CIO,"City Office REIT, Inc. Common Stock"
CIO$A,"City Office REIT, Inc. 6.625% Series A Cumulative Redeemable Preferred Stock"
CIR,"CIRCOR International, Inc. Common Stock"
CIT,CIT Group Inc (DEL) Common Stock
CIVI,"Civitas Solutions, Inc. Common Stock"
CKH,SEACOR Holdings Inc. Common Stock
CL,Colgate
CLA,Capitala Finance Corp. 7.125% Notes due 2021
CLB,Core Laboratories N.V. Common Stock
CLD,Cloud Peak Energy Inc Common Stock
CLDT,Chatham Lodging Trust (REIT) Common Shares of Beneficial Interest
CLF,Cliffs Natural Resources Inc Common Stock
CLGX,"CoreLogic, Inc. Common Stock"
CLH,"Clean Harbors, Inc. Common Stock"
CLI,Mack
CLNS,"Colony NorthStar, Inc."
CLNS$A,"Colony NorthStar, Inc. 8.75% Series A cumulative redeemable perpetual preferred stock"
CLNS$B,"Colony NorthStar, Inc. 8.25% Series B cumulative redeemable perpetual preferred stock"
CLNS$C,"Colony NorthStar, Inc. 8.875% Series C preferred stock"
CLNS$D,"Colony NorthStar, Inc. 8.5% Series D cumulative redeemable perpetual preferred stock"
CLNS$E,"Colony NorthStar, Inc. 8.75% Series E cumulative redeemable perpetual preferred stock"
CLNS$F,"Colony NorthStar, Inc. 8.50% Series F cumulative redeemable perpetual preferred stock"
CLNS$G,"NorthStar Asset Management Group, Inc. 7.50% Series G cumulative redeemable perpetual preferred stock"
CLNS$H,"Colony NorthStar, Inc. 7.125% Series H cumulative redeemable perpetual preferred stock"
CLPR,Clipper Realty Inc. Common Stock
CLR,"Continental Resources, Inc. Common Stock"
CLS,"Celestica, Inc. Common Stock"
CLW,Clearwater Paper Corporation Common Stock
CLX,Clorox Company (The) Common Stock
CM,Canadian Imperial Bank of Commerce Common Stock
CMA,Comerica Incorporated Common Stock
CMA.W,"Comerica Incorporated Warrant expiring November 14, 2018"
CMC,Commercial Metals Company Common Stock
CMCM,"Cheetah Mobile Inc. American Depositary Shares, each representing 10 Class Ordinary Shares"
CMD,Cantel Medical Corp. Common Stock
CMG,"Chipotle Mexican Grill, Inc. Common Stock"
CMI,Cummins Inc. Common Stock
CMO,Capstead Mortgage Corporation Common Stock
CMO$E,Capstead Mortgage Corporation Pfd Ser E
CMP,Compass Minerals Intl Inc Common Stock
CMRE,Costamare Inc. Common Stock $0.0001 par value
CMRE$B,Costamare Inc. Perpetual Preferred Stock Series B (Marshall Islands)
CMRE$C,Costamare Inc. Perpetual Preferred Series C (Marshall Islands)
CMRE$D,Costamare Inc. 8.75% Series D Cumulative Redeemable Perpetual Preferred Stock
CMS,CMS Energy Corporation Common Stock
CMS$B,CMS Energy Corporation Preferred Stock
CMU,MFS Municipal Income Trust Common Stock
CNA,CNA Financial Corporation Common Stock
CNC,Centene Corporation Common Stock
CNCO,Cencosud S.A. American Depositary Shares (Each representing three Common Shares)
CNDT,Conduent Incorporated Common Stock 
CNHI,CNH Industrial N.V. Common Shares
CNI,Canadian National Railway Company Common Stock
CNK,"Cinemark Holdings Inc Cinemark Holdings, Inc. Common Stock"
CNNX,Cone Midstream Partners LP Common Units representing limited partner interests
CNO,"CNO Financial Group, Inc. Common Stock"
CNP,"CenterPoint Energy, Inc (Holding Co) Common Stock"
CNQ,Canadian Natural Resources Limited Common Stock
CNS,Cohen & Steers Inc Common Stock
CNX,CONSOL Energy Inc. Common Stock
CNXC,CNX Coal Resources LP Common Units representing limited partner interests
CO,China Cord Blood Corporation Common Stock
CODI,Compass Diversified Holdings Shares of Beneficial Interest
COE,"China Online Education Group American depositary shares, each representing 15 Class A ordinary shares"
COF,Capital One Financial Corporation Common Stock
COF$C,Capital One Financial Corp Depository Shares Representing 1/40th Int Perp Pfd Ser C%
COF$D,Capital One Financial Corp Depository Shares Representing 1/40th Interest Perpetual Preferred Series D
COF$F,"Capital One Financial Corporation Depositary Shares, Each Representing a 1/40th Interest in a Share of Fixed Rate Non"
COF$G,"Capital One Financial Corporation Depositary Shares, Each Representing a 1/40th Interest in a Share of Fixed Rate Non"
COF$H,"Capital One Financial Corporation Depositary Shares, Each Representing 1/40th Interest in a Share of Fixed Rate Non"
COF$P,Capital One Financial Corp Pfd Ser B
COF.W,"Capital One Financial Corporation Warrants expiring November 14, 2018"
COG,Cabot Oil & Gas Corporation Common Stock
COH,"Coach, Inc. Common Stock"
COL,"Rockwell Collins, Inc. Common Stock"
COO,"Cooper Companies, Inc. (The) Common Stock"
COP,ConocoPhillips Common Stock
COR,CoreSite Realty Corporation Common Stock
COR$A,CoreSite Realty Corporation Pfd Ser A
CORR,"CorEnergy Infrastructure Trust, Inc. Common Stock"
CORR$A,"CorEnergy Infrastructure Trust, Inc. Depositary Shares, each representing a 1/100th fractional interest of a share of 7.375% Series A Cumulative Redeemable Preferred Stock"
COT,Cott Corporation Common Stock
COTV,"Cotiviti Holdings, Inc. Common Stock"
COTY,Coty Inc. Class A Common Stock
CP,Canadian Pacific Railway Limited Common Stock
CPA,"Copa Holdings, S.A. Copa Holdings, S.A. Class A Common Stock"
CPAC,Cementos Pacasmayo S.A.A. American Depositary Shares (Each representing five Common Shares)
CPB,Campbell Soup Company Common Stock
CPE,Callon Petroleum Company Common Stock
CPE$A,Callon Petroleum Company Preferred Shares Series A 10%
CPF,Central Pacific Financial Corp New
CPG,Crescent Point Energy Corporation Ordinary Shares (Canada)
CPK,Chesapeake Utilities Corporation Common Stock
CPL,CPFL Energia S.A. CPFL Energia S.A. American Depositary Shares
CPN,Calpine Corporation Common Stock
CPS,Cooper
CPT,Camden Property Trust Common Stock
CR,Crane Company Common Stock
CRC,California Resources Corporation Common Stock
CRCM,"Care.com, Inc. Common Stock"
CRD.A,Crawford & Company Common Stock
CRD.B,Crawford & Company Common Stock
CRH,CRH PLC American Depositary Shares
CRI,"Carter's, Inc. Common Stock"
CRK,"Comstock Resources, Inc. Common Stock"
CRL,"Charles River Laboratories International, Inc. Common Stock"
CRM,Salesforce.com Inc Common Stock
CRR,"Carbo Ceramics, Inc. Common Stock"
CRS,Carpenter Technology Corporation Common Stock
CRT,Cross Timbers Royalty Trust Common Stock
CRY,"CryoLife, Inc. Common Stock"
CS,Credit Suisse Group American Depositary Shares
CSL,Carlisle Companies Incorporated Common Stock
CSLT,"Castlight Health, Inc. Class B Common Stock"
CSRA,CSRA Inc. Common Stock
CSS,"CSS Industries, Inc. Common Stock"
CST,"CST Brands, Inc. Common Stock"
CSTM,Constellium N.V. Ordinary Shares
CSU,Capital Senior Living Corporation Common Stock
CSV,"Carriage Services, Inc. Common Stock"
CTAA,Qwest Corporation 7% Notes due 2056
CTB,Cooper Tire & Rubber Company Common Stock
CTBB,Qwest Corporation 6.5% Notes due 2056
CTL,"CenturyLink, Inc. Common Stock"
CTLT,"Catalent, Inc. Common Stock"
CTS,CTS Corporation Common Stock
CTT,"CatchMark Timber Trust, Inc. Class A Common Stock"
CTU,Qwest Corporation 7.00% Notes due 2025
CTV,Qwest Corporation 6.875% Notes due 2054
CTW,Qwest Corporation 7.50% Notes due 2051
CTX,Qwest Corporation 7.00% Notes due 2052
CTY,Qwest Corporation 6.125% Notes due 2053
CTZ,Qwest Corporation 6.625% Notes due 2055
CUB,Cubic Corporation Common Stock
CUBE,CubeSmart Common Shares
CUBI,"Customers Bancorp, Inc Common Stock"
CUBI$C,"Customers Bancorp, Inc Fixed"
CUBI$D,"Customers Bancorp, Inc Fixed"
CUBI$E,"Customers Bancorp, Inc Fixed"
CUBI$F,"Customers Bancorp, Inc Fixed"
CUBS,"Customers Bancorp, Inc 6.375% Senior Notes due 2018"
CUDA,"Barracuda Networks, Inc. Common Stock"
CUK,Carnival Plc ADS ADS
CUZ,Cousins Properties Incorporated Common Stock
CVA,Covanta Holding Corporation Common Stock
CVE,Cenovus Energy Inc Common Stock
CVEO,Civeo Corporation (Canada) Common Shares
CVG,Convergys Corporation Common Stock
CVI,CVR Energy Inc. Common Stock
CVO,Cenveo Inc Common Stock
CVRR,"CVR Refining, LP Common Units Representing Limited Partner Interests"
CVS,CVS Health Corporation Common Stock
CVX,Chevron Corporation Common Stock
CW,Curtiss
CWEI,"Clayton Williams Energy, Inc. Common Stock"
CWH,"Camping World Holdings, Inc. Class A Commom Stock"
CWT,California Water Service Group Common Stock
CX,"Cemex, S.A.B. de C.V. Sponsored ADR"
CXE,MFS High Income Municipal Trust Common Stock
CXH,MFS Investment Grade Municipal Trust Common Stock
CXO,Concho Resources Inc. Common Stock
CXP,"Columbia Property Trust, Inc. Common Stock"
CXW,"CoreCivic, Inc. Common Stock"
CYD,China Yuchai International Limited Common Stock
CYH,"Community Health Systems, Inc. Common Stock"
CYS,"CYS Investments, Inc. Common Stock"
CYS$A,CYS Investments Inc Cumulative Redeemable Preferred Series A
CYS$B,"CYS Investments, Inc. Preferred Series B"
CZZ,Cosan Limited Class A Common Stock
D,"Dominion Resources, Inc. Common Stock"
DAC,Danaos Corporation Common Stock
DAL,"Delta Air Lines, Inc. Common Stock"
DAN,Dana Incorporated Common Stock 
DAR,Darling Ingredients Inc. Common Stock
DATA,"Tableau Software, Inc. Class A Common Stock"
DB,Deutsche Bank AG Common Stock
DBD,Diebold Nixdorf Incorporated Common Stock
DCI,"Donaldson Company, Inc. Common Stock"
DCM,"NTT DOCOMO, Inc American Depositary Shares"
DCO,Ducommun Incorporated Common Stock
DCP,"DCP Midstream,  LP Common Units "
DCT,DCT Industrial Trust Inc Common Stock
DCUC,"Dominion Resources, Inc. VA New 2014 Series A Corp Unit"
DCUD,"Dominion Resources, Inc. 2016 Series A Corporate Units"
DD,E.I. du Pont de Nemours and Company Common Stock
DD$A,E.I. du Pont de Nemours and Company Preferred Stock
DD$B,E.I. du Pont de Nemours and Company Preferred Stock
DDC,Dominion Diamond Corporation Common Stock
DDD,3D Systems Corporation Common Stock
DDE,Dover Downs Gaming & Entertainment Inc Common Stock
DDR,DDR Corp. Common Stock
DDR$J,DDR Corporation Dep Shs Repstg 1/20th Pfd Cl J
DDR$K,DDR Corp. DEPOSITARY SH REPSTG 1/20TH PDF CL K % (United States)
DDS,"Dillard's, Inc. Common Stock"
DDT,Dillard's Capital Trust I
DE,Deere & Company Common Stock
DEA,"Easterly Government Properties, Inc. Common Stock"
DECK,Deckers Outdoor Corporation Common Stock
DEI,"Douglas Emmett, Inc. Common Stock"
DEL,Deltic Timber Corporation Common Stock
DEO,Diageo plc Common Stock
DEX,Delaware Enhanced Global Dividend Common Shares of Beneficial Interest
DF,Dean Foods Company Common Stock
DFIN,"Donnelley Financial Solutions, Inc. Common Stock "
DFS,Discover Financial Services Common Stock
DFS$B,Discover Financial Services Dep Shs
DFT,"Dupont Fabros Technology, Inc. Common Stock"
DFT$C,"Dupont Fabros Technology, Inc. 6.625% Series C Cumulative Redeemable Perpetual Preferred Stock"
DG,Dollar General Corporation Common Stock
DGI,"DigitalGlobe, Inc Common Stock"
DGX,Quest Diagnostics Incorporated Common Stock
DHI,"D.R. Horton, Inc. Common Stock"
DHR,Danaher Corporation Common Stock
DHT,"DHT Holdings, Inc."
DHX,"DHI Group, Inc. Common Stock"
DIN,"DineEquity, Inc Common Stock"
DIS,Walt Disney Company (The) Common Stock
DK,"Delek US Holdings, Inc. Common Stock"
DKL,"Delek Logistics Partners, L.P. Common Units representing Limited Partner Interests"
DKS,Dick's Sporting Goods Inc Common Stock
DKT,Deutsch Bk Contingent Cap Tr V Tr Pfd Secs
DL,China Distance Education Holdings Limited American Depositary Shares
DLB,Dolby Laboratories Common Stock
DLNG,Dynagas LNG Partners LP Common Units
DLNG$A,Dynagas LNG Partners LP 9.00% Series A Cumulative Redeemable Preferred Units
DLPH,Delphi Automotive plc Ordinary Shares
DLR,"Digital Realty Trust, Inc. Common Stock"
DLR$F,"Digital Realty Trust, Inc. Preferred Series F"
DLR$G,"Digital Realty Trust, Inc. Preferred Series G"
DLR$H,"Digital Realty Trust, Inc. Redeemable Preferred Stock Series H"
DLR$I,"Digital Realty Trust, Inc. 6.350% Series I Cumulative Redeemable Preferred Stock, par value $0.01 per share"
DLX,Deluxe Corporation Common Stock
DM,"Dominion Midstream Partners, LP Common Units representing Limited Partner Interests"
DNB,Dun & Bradstreet Corporation (The) Common Stock
DNOW,NOW Inc. Common Stock
DNR,Denbury Resources Inc. Common Stock
DO,"Diamond Offshore Drilling, Inc. Common Stock"
DOC,Physicians Realty Trust Common Shares of Beneficial Interest
DOOR,Masonite International Corporation Ordinary Shares (Canada)
DOV,Dover Corporation Common Stock
DOW,Dow Chemical Company (The) Common Stock
DPLO,"Diplomat Pharmacy, Inc. Common Stock"
DPS,"Dr Pepper Snapple Group, Inc Dr Pepper Snapple Group, Inc  Common Stock"
DPZ,Domino's Pizza Inc Common Stock
DQ,"DAQO New Energy Corp. American Depositary Shares, each representing five ordinary shares"
DRD,DRDGOLD Limited American Depositary Shares
DRE,Duke Realty Corporation Common Stock
DRH,Diamondrock Hospitality Company Common Stock
DRI,"Darden Restaurants, Inc. Common Stock"
DRQ,Dril
DRUA,"Dominion Resources, Inc. 2016 Series A 5.25% Enhanced Junior Subordinated Notes due 2076"
DS,Drive Shack Inc.
DS$B,Drive Shack Inc. Preferred Series B
DS$C,Drive Shack Inc. Preferred Series C
DS$D,Drive Shack Inc. Pfd Ser D
DST,"DST Systems, Inc. Common Stock"
DSW,DSW Inc. Common Stock
DSX,Diana Shipping inc. common stock
DSX$B,Diana Shipping Inc. Perpetual Preferred Shares Series B (Marshall Islands)
DSXN,Diana Shipping Inc. 8.50% Senior Notes due 2020
DTE,DTE Energy Company Common Stock
DTF,DTF Tax
DTJ,DTE Energy Company 2016 Series B 5.375% Junior Subordinated Debentures due 2076
DTK,Deutsche Bk Contingent Cap Tr III Tr Pfd Secs
DTLA$,Brookfield DTLA Inc. 7.625% Series A Cumulative Redeemable Preferred Stock
DTQ,"DTE Energy Company 2012 Series C 5.25% Junior Subordinate Debentures due December 1, 2062"
DTV,DTE Energy Company 2016 Corporate Units
DTY,DTE Energy Company 2016 Series F 6.00% Junior Subordinated Debentures due 2076
DUC,"Duff & Phelps Utility & Corporate Bond Trust, Inc. Common Stock"
DUK,Duke Energy Corporation (Holding Company) Common Stock
DUKH,Duke Energy Corporation 5.125% Junior Subordinated Debentures due 2073
DV,DeVry Education Group Inc. Common Stock
DVA,DaVita Inc. Common Stock
DVD,"Dover Motorsports, Inc. Common Stock"
DVMT,Dell Technologies Inc. Class V Common Stock
DVN,Devon Energy Corporation Common Stock
DX,"Dynex Capital, Inc. Common Stock"
DX$A,"Dynex Capital, Inc. Preferred Stock Series A"
DX$B,"Dynex Capital, Inc. Preferred Series B"
DXB,Deutsche Bk Contingent Cap TR II Tr Pfd Sec
DXC,DXC Technology Company Common Stock 
DY,"Dycom Industries, Inc. Common Stock"
DYN,Dynegy Inc. Common Stock
DYN$A,Dynegy Inc. Mandatory Preferred Convertible Series A%
DYN.A,"Dynegy Inc. Warrants to purchase Common Stock (Expirig February 2, 2024)"
DYN.W,"Dynegy Inc. Warrant expiring October 2, 2017"
DYNC,Dynegy Inc. 7.00% Tangible Equity Units
E,ENI S.p.A. Common Stock
EAB,"Entergy Arkansas, Inc. First Mortgage Bonds, 4.90% Series Due December 1, 2052"
EAE,"Entergy Arkansas, Inc. First Mortgage Bonds, 4.75% Series due June 1, 2063"
EAI,"Entergy Arkansas, Inc. First Mortgage Bonds, 4.875% Series Due September 1, 2066"
EARN,Ellington Residential Mortgage REIT Common Shares of Beneficial Interest
EAT,"Brinker International, Inc. Common Stock"
EBF,"Ennis, Inc. Common Stock"
EBR,Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one Common Share)
EBR.B,Centrais Electricas Brasileiras S.A.
EBS,"Emergent Biosolutions, Inc. Common Stock"
EC,Ecopetrol S.A. American Depositary Shares
ECA,Encana Corporation
ECC,Eagle Point Credit Company Inc. Common Stock
ECCA,Eagle Point Credit Company Inc. Series A Term Preferred Stock due 2022
ECCB,Eagle Point Credit Company Inc. 7.75% Series B Term Preferred Stock due 2026
ECCZ,Eagle Point Credit Company Inc. 7.00% Notes due 2020
ECL,Ecolab Inc. Common Stock
ECOM,ChannelAdvisor Corporation Common Stock
ECR,Eclipse Resources Corporation Common Stock
ECT,ECA Marcellus Trust I Common Units of Beneficial Interest
ED,"Consolidated Edison, Inc. Common Stock"
EDN,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) American Depositary Shares
EDR,"Education Realty Trust, Inc. Common Stock"
EDU,"New Oriental Education & Technology Group, Inc. Sponsored ADR representing 1 Ordinary Share (Cayman Islands)"
EE,El Paso Electric Company Common Stock
EEP,"Enbridge Energy, L.P. Class A Common Units"
EEQ,Enbridge Energy Management LLC Shares repstg limited liability company interests
EFC,"Ellington Financial LLC Common Shares representing Limitied Liability Company Interests, no par valu"
EFF,Eaton vance Floating
EFR,Eaton Vance Senior Floating
EFT,Eaton Vance Floating Rate Income Trust Common Shares of Beneficial Interest
EFX,"Equifax, Inc. Common Stock"
EGL,"Engility Holdings, Inc. Common Stock"
EGN,Energen Corporation Common Stock
EGO,Eldorado Gold Corporation Ordinary Shares
EGP,"EastGroup Properties, Inc. Common Stock"
EGY,Vaalco Energy Inc Common Stock
EHIC,eHi Car Services Limited American Depositary Shares
EHT,Eaton Vance High Income 2021 Target Term Trust Common Shares of Beneficial Interest
EIG,Employers Holdings Inc Common Stock
EIX,Edison International Common Stock
EL,"Estee Lauder Companies, Inc. (The) Common Stock"
ELC,"Entergy Louisiana, Inc. Collateral Trust Mortgage Bonds, 4.875 % Series due September 1, 2066"
ELF,"e.l.f. Beauty, Inc. Common Stock"
ELJ,"Entergy Louisiana, Inc. First Mortgage Bonds, 5.25% Series due July 1, 2052"
ELLI,"Ellie Mae, Inc. Common Stock"
ELP,Companhia Paranaense de Energia (COPEL) Common Stock
ELS,"Equity Lifestyle Properties, Inc. Common Stock"
ELS$C,"Equity Lifestyle Properties, Inc. Depositary Shares each representing 1/100th of a share of 6.75% Series C Cumulative Redeemable Perpetual Preferred Stock"
ELU,"Entergy Louisiana, Inc. First Mortgage Bonds, 4.70% Series due June 1, 2063"
ELY,Callaway Golf Company Common Stock
EME,"EMCOR Group, Inc. Common Stock"
EMES,Emerge Energy Services LP Common Units representing Limited Partner Interests
EMN,Eastman Chemical Company Common Stock
EMP,"Entergy Mississippi, Inc. First Mortgage Bonds, 4.90% Series Due October 1, 2066"
EMR,Emerson Electric Company Common Stock
ENB,Enbridge Inc Common Stock
ENBL,"Enable Midstream Partners, LP Common Units representing limited partner interests"
ENH$C,"Endurance Specialty Holdings Ltd Depositary Shares, each Representing a 1/1000th Interest in a Share of 6.350% Non"
ENIA,Enel Americas S.A. American Depositary Shares
ENIC,Enel Chile S.A. American Depositary Shares (Each representing 50 shares of Common Stock)
ENJ,"Entergy New Orleans, Inc. First Mortgage Bonds, 5.0% Series due December 1, 2052"
ENLC,"EnLink Midstream, LLC Common Units representing Limited Partner Interests"
ENLK,"EnLink Midstream Partners, LP Common Units Representing Limited Partnership Interests"
ENO,"Entergy New Orleans, Inc. First Mortgage Bonds, 5.50% Series due April 1, 2066"
ENR,"Energizer Holdings, Inc. Common Stock"
ENS,Enersys Common Stock
ENV,"Envestnet, Inc Common Stock"
ENVA,"Enova International, Inc. Common Stock"
ENZ,"Enzo Biochem, Inc. Common Stock ($0.01 Par Value)"
EOCC,Enel Generacion Chile S.A. American Depositary Shares (Each representing 30 shares of Common Stock)
EOG,"EOG Resources, Inc. Common Stock"
EOT,Eaton Vance Municipal Income Trust EATON VANCE NATIONAL MUNICIPAL OPPORTUNITIES TRUST
EP$C,El Paso Corporation Preferred Stock
EPAM,"EPAM Systems, Inc. Common Stock"
EPC,Edgewell Personal Care Company Common Stock
EPD,Enterprise Products Partners L.P. Common Stock
EPE,EP Energy Corporation Class A Common Stock
EPR,EPR Properties Common Stock
EPR$C,EPR Properties 5.75% Series C Cumulative Convertible Preferred Shares
EPR$E,EPR Properties Series E Cumulative Conv Pfd Shs Ser E
EPR$F,EPR Properties Pfd Ser F
EQC,Equity Commonwealth Common Shares of Beneficial Interest
EQC$D,Equity Commonwealth 6.50% Pfd Conv Shs Ser D
EQCO,Equity Commonwealth 5.75% Senior Notes due 2042
EQGP,"EQT GP Holdings, LP Common Units representing limited partner interests"
EQM,"EQT Midstream Partners, LP Common Units representing Limited Partner Interests"
EQR,Equity Residential Common Shares of Beneficial Interest
EQS,"Equus Total Return, Inc. Common Stock"
EQT,EQT Corporation Common Stock
ERA,"Era Group, Inc. Common Stock"
ERF,Enerplus Corporation Common Stock
ERJ,Embraer S.A. Common Stock
EROS,Eros International PLC A Ordinary Shares
ES,Eversource Energy (D/B/A) Common Stock
ESE,ESCO Technologies Inc. Common Stock
ESL,Esterline Technologies Corporation Common Stock
ESNT,Essent Group Ltd. Common Shares
ESRT,"Empire State Realty Trust, Inc. Class A Common Stock"
ESS,"Essex Property Trust, Inc. Common Stock"
ESV,Ensco plc Class A Ordinary Shares
ETB,Eaton Vance Tax
ETE,"Energy Transfer Equity, L.P. Energy Transfer Equity, L.P. Common Units representing Limited Partnership interests"
ETG,Eaton Vance Tax
ETH,Ethan Allen Interiors Inc. Common Stock
ETJ,Eaton Vance Risk
ETM,Entercom Communications Corporation Common Stock
ETN,"Eaton Corporation, PLC Ordinary Shares"
ETO,Eaton Vance Tax
ETP,"Energy Transfer Partners, L.P. ENERGY TRANSFER PARNTERS"
ETR,Entergy Corporation Common Stock
ETV,Eaton Vance Corporation Eaton Vance Tax
ETW,Eaton Vance Corporation Eaton Vance Tax
ETX,Eaton Vance Municipal Income 2028 Term Trust Common Shares of Beneficial Interest
ETY,Eaton Vance Tax
EURN,Euronav NV Ordinary Shares
EV,Eaton Vance Corporation Common Stock
EVA,"Enviva Partners, LP Common units representing limited partner interests"
EVC,Entravision Communications Corporation Common Stock
EVER,EverBank Financial Corp. Common Stock
EVER$A,EverBank Financial Corp. Depositary Shares Representing 1/1000th Perpetual Preferred Series A
EVF,Eaton Vance Senior Income Trust Common Stock
EVH,"Evolent Health, Inc Class A Common Stock"
EVHC,Envision Healthcare Corporation Common Stock
EVHC$,"Envision Healthcare Corporation 5.250% Mandatory Convertible Preferred Stock, Series A"
EVN,Eaton Vance Municipal Income Trust Common Stock
EVR,Evercore Partners Inc Class A Common Stock
EVRI,Everi Holdings Inc. Common Stock
EVTC,"Evertec, Inc. Common Stock"
EW,Edwards Lifesciences Corporation Common Stock
EXAR,Exar Corporation Common Stock
EXC,Exelon Corporation Common Stock
EXCU,Exelon Corp. Conv Unit
EXD,Eaton Vance Tax
EXG,Eaton Vance Tax
EXK,Endeavour Silver Corporation Ordinary Shares (Canada)
EXP,Eagle Materials Inc Common Stock
EXPR,"Express, Inc. Common Stock"
EXR,Extra Space Storage Inc Common Stock
EXTN,Exterran Corporation Common Stock
EZT,"Entergy Texas Inc First Mortgage Bonds 5.625% Series due June 1, 2064"
F,Ford Motor Company Common Stock
FAC,First Acceptance Corporation
FAF,First American Corporation (New) Common Stock
FBC,"Flagstar Bancorp, Inc. Common Stock"
FBHS,"Fortune Brands Home & Security, Inc. Common Stock"
FBK,FB Financial Corporation Common Stock
FBM,"Foundation Building Materials, Inc. Common Stock"
FBP,First BanCorp. New Common Stock
FBR,Fibria Celulose S.A.
FC,Franklin Covey Company Common Stock
FCAU,Fiat Chrysler Automobiles N.V. Common Shares
FCB,"FCB Financial Holdings, Inc. Class A Common Stock"
FCE.A,"Forest City Realty Trust, Inc. Common Stock"
FCE.B,"Forest City Realty Trust, Inc. Common Stock"
FCF,First Commonwealth Financial Corporation Common Stock
FCFS,"First Cash, Inc. Common Stock"
FCH,FelCor Lodging Trust Incorporated Common Stock
FCH$A,FelCor Lodging Trust Incorporated Preferred Stock
FCN,"FTI Consulting, Inc. Common Stock"
FCPT,"Four Corners Property Trust, Inc. Common Stock"
FCX,Freeport
FDC,First Data Corporation Class A Common Stock
FDP,"Fresh Del Monte Produce, Inc. Common Stock"
FDS,FactSet Research Systems Inc. Common Stock
FDX,FedEx Corporation Common Stock
